split,variant,typology,rings,caught,ring_recall,alert_budget
LI-Small,txn_with_format,BIPARTITE,8,5,0.625,0.001
LI-Small,txn_with_format,CYCLE,10,3,0.3,0.001
LI-Small,txn_with_format,FAN-IN,6,1,0.16666666666666666,0.001
LI-Small,txn_with_format,FAN-OUT,10,6,0.6,0.001
LI-Small,txn_with_format,GATHER-SCATTER,8,7,0.875,0.001
LI-Small,txn_with_format,RANDOM,8,4,0.5,0.001
LI-Small,txn_with_format,SCATTER-GATHER,9,5,0.5555555555555556,0.001
LI-Small,txn_with_format,STACK,9,5,0.5555555555555556,0.001
LI-Small,txn_without_format,BIPARTITE,8,1,0.125,0.001
LI-Small,txn_without_format,CYCLE,10,1,0.1,0.001
LI-Small,txn_without_format,FAN-IN,6,1,0.16666666666666666,0.001
LI-Small,txn_without_format,FAN-OUT,10,1,0.1,0.001
LI-Small,txn_without_format,GATHER-SCATTER,8,0,0.0,0.001
LI-Small,txn_without_format,RANDOM,8,0,0.0,0.001
LI-Small,txn_without_format,SCATTER-GATHER,9,2,0.2222222222222222,0.001
LI-Small,txn_without_format,STACK,9,2,0.2222222222222222,0.001
LI-Small,graph_with_format,BIPARTITE,8,3,0.375,0.001
LI-Small,graph_with_format,CYCLE,10,1,0.1,0.001
LI-Small,graph_with_format,FAN-IN,6,0,0.0,0.001
LI-Small,graph_with_format,FAN-OUT,10,3,0.3,0.001
LI-Small,graph_with_format,GATHER-SCATTER,8,1,0.125,0.001
LI-Small,graph_with_format,RANDOM,8,1,0.125,0.001
LI-Small,graph_with_format,SCATTER-GATHER,9,2,0.2222222222222222,0.001
LI-Small,graph_with_format,STACK,9,0,0.0,0.001
LI-Small,graph_without_format,BIPARTITE,8,1,0.125,0.001
LI-Small,graph_without_format,CYCLE,10,2,0.2,0.001
LI-Small,graph_without_format,FAN-IN,6,0,0.0,0.001
LI-Small,graph_without_format,FAN-OUT,10,0,0.0,0.001
LI-Small,graph_without_format,GATHER-SCATTER,8,3,0.375,0.001
LI-Small,graph_without_format,RANDOM,8,1,0.125,0.001
LI-Small,graph_without_format,SCATTER-GATHER,9,1,0.1111111111111111,0.001
LI-Small,graph_without_format,STACK,9,3,0.3333333333333333,0.001
